M 	是 王若 猫 的 
这是 为什么 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
为什么 这样 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
问 一下 原因 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
还是 什么 原因 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
为啥 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
为啥子 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
为 咩 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
为 嘛 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
因为 啥 	原因 有 很多 具体 问题 要 具体分析 追求 事物 的 本质 原因 真是 个 优秀 的 品质 
好 再见 	拜拜 有 需要 再 召唤 我 呀 再见 呀 
下次 再来 找 你 聊天 啦 	拜拜 有 需要 再 召唤 我 呀 再见 呀 
那 下次 再聊 	拜拜 有 需要 再 召唤 我 呀 再见 呀 
好 88 	拜拜 有 需要 再 召唤 我 呀 再见 呀 
我 说 再见 	拜拜 有 需要 再 召唤 我 呀 再见 呀 
不再 见 	拜拜 有 需要 再 召唤 我 呀 再见 呀 
那 拜拜 啦 	拜拜 有 需要 再 召唤 我 呀 再见 呀 
bye 	拜拜 有 需要 再 召唤 我 呀 再见 呀 
什么 意思 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
啥意思 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
什么 意思 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
几个 意思 呀 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
这是 什么 意思 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
啥 玩意 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
这是 什么 意思 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
什么 情况 呀 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
这个 啥意思 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
你 说啥 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
什么 呀 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
这 句话 是 什么 意思 	能 具体 说 下 你 的 疑问 嘛 您 是 有 哪 不 理解 呀 
是 这样 	好 的 嗯嗯 
是 这样 	好 的 嗯嗯 
这样 	好 的 嗯嗯 
这样 	好 的 嗯嗯 
是 这样 	好 的 嗯嗯 
是 呀 	好 的 嗯嗯 
是 	好 的 嗯嗯 
是 咯 	好 的 嗯嗯 
就是 这样 	好 的 嗯嗯 
有 道理 	好 的 嗯嗯 
算是 吧 	好 的 嗯嗯 
算是 有 吧 	好 的 嗯嗯 
没有 我要 问 	好 的 嗯嗯 
你 说 没错 	好 的 嗯嗯 
是 	好 的 嗯嗯 
可能 是 吧 	好 的 嗯嗯 
没有 我 想要 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
没有 我 想要 答案 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
不用 问题 解决 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
没有 我 问题 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
没有 我 想问 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
没有 问题 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
没问题 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
都 没问题 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
没问题 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
好 没事 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
没什么 问题 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
我 没问题 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
我 没什么 事 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
已经 解决 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
没事 	好 呀 以后 有 需要 随时 召唤 我 好 呀 有事 随时 找 我 呗 
噢 好 	嗯嗯 好 呀 
好 吧 好 吧 	嗯嗯 好 呀 
行 吧 	嗯嗯 好 呀 
那行 吧 	嗯嗯 好 呀 
那 就 行 吧 	嗯嗯 好 呀 
就 这样 吧 	嗯嗯 好 呀 
那 就 这样 好 	嗯嗯 好 呀 
勉强 可以 吧 	嗯嗯 好 呀 
就 按 你 说 吧 	嗯嗯 好 呀 
就 找 你 说 吧 	嗯嗯 好 呀 
你 在 帮 我查 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
您 能 帮 我 查询 到 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
请 再 帮查 一下 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
你 帮 我 查查 吧 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
帮忙 查查 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
你查 一下 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
请 帮 我 查下 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
请 查询 下 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
能查 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
查询 问题 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
你 是 在 帮 我 查询 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
麻烦 帮忙 查下 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
麻烦 查下 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
你 能 帮 我查 下 么 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
帮 我查 到 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
帮忙 查查 快点 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
请 查询 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
给查 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
能 不能 查下 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
帮 我查 一下 	好 呀 具体 要查 啥 好 的 说 吧 要查 啥 
麻烦 你 帮 我 一下 	跟 我 不用 客气 啦 我 很 荣幸 啦 不 客气 
真的 麻烦 你 	跟 我 不用 客气 啦 我 很 荣幸 啦 不 客气 
麻烦 你 帮个忙 	跟 我 不用 客气 啦 我 很 荣幸 啦 不 客气 
麻烦 你 帮 我 做 一下 	跟 我 不用 客气 啦 我 很 荣幸 啦 不 客气 
麻烦 你查 一下 	跟 我 不用 客气 啦 我 很 荣幸 啦 不 客气 
麻烦 你 帮帮我 	跟 我 不用 客气 啦 我 很 荣幸 啦 不 客气 
需要 麻烦 你 	跟 我 不用 客气 啦 我 很 荣幸 啦 不 客气 
给 你 添麻烦 	跟 我 不用 客气 啦 我 很 荣幸 啦 不 客气 
给 你 添 不少 麻烦 	跟 我 不用 客气 啦 我 很 荣幸 啦 不 客气 
麻烦 你 处理 一下 	跟 我 不用 客气 啦 我 很 荣幸 啦 不 客气 
不好意思 麻烦 你 	跟 我 不用 客气 啦 我 很 荣幸 啦 不 客气 
科科 	有 很多 意思 啊 这是 还有 别的 意思 呀 
喝喝 	有 很多 意思 啊 这是 还有 别的 意思 呀 
hehe 	有 很多 意思 啊 这是 还有 别的 意思 呀 
KK 	有 很多 意思 啊 这是 还有 别的 意思 呀 
呵呵 呵呵 	有 很多 意思 啊 这是 还有 别的 意思 呀 
呵呵 呵 	有 很多 意思 啊 这是 还有 别的 意思 呀 
好 謝谢 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
非常感谢 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
好谢 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
好 非常感谢 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
好谢 啦 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
好 谢謝 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
好谢 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
好 謝謝 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
多谢 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
感谢 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
谢谢 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
thanks 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
thank   you 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
thx 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
谢 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
3Q 	不 客气 能 帮到 你 我 就 很 开心 啦 客气 客气 
你 在 干嘛 	我 在 等 你 呀 学习 哈哈 
你 在 干什么 	我 在 等 你 呀 学习 哈哈 
干什么 	我 在 等 你 呀 学习 哈哈 
干嘛 	我 在 等 你 呀 学习 哈哈 
你 干嘛 	我 在 等 你 呀 学习 哈哈 
你 干 啥 	我 在 等 你 呀 学习 哈哈 
你 做 啥 	我 在 等 你 呀 学习 哈哈 
你 做 什么 	我 在 等 你 呀 学习 哈哈 
你 在 干 啥 	我 在 等 你 呀 学习 哈哈 
你 在 做 啥 	我 在 等 你 呀 学习 哈哈 
你 在 做 什么 	我 在 等 你 呀 学习 哈哈 
你 干 啥事 	我 在 等 你 呀 学习 哈哈 
你 做 啥事 	我 在 等 你 呀 学习 哈哈 
你 在 做 什么事 	我 在 等 你 呀 学习 哈哈 
你 在 想 啥 	我 在 等 你 呀 学习 哈哈 
你 在 想 什么 	我 在 等 你 呀 学习 哈哈 
你 想 啥 	我 在 等 你 呀 学习 哈哈 
你 想 什么 	我 在 等 你 呀 学习 哈哈 
你 吃 嘛 	呀 要 请 我 吃饭 么 没啥 胃口 可能 要 瘦 
有啥 好吃 	呀 要 请 我 吃饭 么 没啥 胃口 可能 要 瘦 
吃饭 	呀 要 请 我 吃饭 么 没啥 胃口 可能 要 瘦 
吃 东西 	呀 要 请 我 吃饭 么 没啥 胃口 可能 要 瘦 
想 吃 啥 呀 	呀 要 请 我 吃饭 么 没啥 胃口 可能 要 瘦 
不 知道 吃 啥 	呀 要 请 我 吃饭 么 没啥 胃口 可能 要 瘦 
吃 啥 	呀 要 请 我 吃饭 么 没啥 胃口 可能 要 瘦 
你 是 谁 	我 是 小 e 呀 
你 是 哪个 	我 是 小 e 呀 
你 是 什么 东西 	我 是 小 e 呀 
你 是 个 啥 	我 是 小 e 呀 
你 叫啥 	我 是 小 e 呀 
你 叫 什么 	我 是 小 e 呀 
你 名字 	我 是 小 e 呀 
你 姓名 	我 是 小 e 呀 
高姓大名 	我 是 小 e 呀 
尊姓大名 	我 是 小 e 呀 
姓甚名谁 	我 是 小 e 呀 
你 啥 名 	我 是 小 e 呀 
你 叫啥 名 	我 是 小 e 呀 
你 啥 名 	我 是 小 e 呀 
你 啥 名儿 	我 是 小 e 呀 
你 名字 是 啥 	我 是 小 e 呀 
你 名字 是 什么 	我 是 小 e 呀 
你 名字 是 什么 	我 是 小 e 呀 
报上名来 	我 是 小 e 呀 
告诉 我 你 名字 	我 是 小 e 呀 
告诉 我 你 叫 什么 	我 是 小 e 呀 
你 是 什么 	我 是 小 e 呀 
你 谁 	我 是 小 e 呀 
你 哪位 	我 是 小 e 呀 
你 是 什么 人 	我 是 小 e 呀 
你 什么 人 	我 是 小 e 呀 
你 昵称 	就 叫 我 小 e 吧 
你 小名 	就 叫 我 小 e 吧 
你 小名儿 	就 叫 我 小 e 吧 
你 昵称 是 啥 	就 叫 我 小 e 吧 
你 小名 是 什么 	就 叫 我 小 e 吧 
怎样 亲切 地 称呼 你 	就 叫 我 小 e 吧 
你 有没有 昵称 	就 叫 我 小 e 吧 
你 有 小名 	就 叫 我 小 e 吧 
你 有没有 小名 	就 叫 我 小 e 吧 
你 有 小名 不 	就 叫 我 小 e 吧 
你 有 昵称 不 	就 叫 我 小 e 吧 
你 有 昵称 	就 叫 我 小 e 吧 
怎么 称呼 你 	就 叫 我 小 e 吧 
叫 你 什么 好 	就 叫 我 小 e 吧 
你 昵称 是 什么 	就 叫 我 小 e 吧 
你 是 男 是 女 	其实 我 也 没 弄清楚 尴尬 
你 是 男女 	其实 我 也 没 弄清楚 尴尬 
你 是 男 还是 女 	其实 我 也 没 弄清楚 尴尬 
你 是 汉子 还是 妹子 	其实 我 也 没 弄清楚 尴尬 
你 是 男 	其实 我 也 没 弄清楚 尴尬 
你 是 男人 	其实 我 也 没 弄清楚 尴尬 
你 是 男生 	其实 我 也 没 弄清楚 尴尬 
你 性别 是 什么 	其实 我 也 没 弄清楚 尴尬 
你 性别 是 	其实 我 也 没 弄清楚 尴尬 
你 男女 	其实 我 也 没 弄清楚 尴尬 
你 男 还是 女 	其实 我 也 没 弄清楚 尴尬 
你 有 性别 	其实 我 也 没 弄清楚 尴尬 
你 是 汉子 	其实 我 也 没 弄清楚 尴尬 
你 不 像 女 	其实 我 也 没 弄清楚 尴尬 
你 像 男 	其实 我 也 没 弄清楚 尴尬 
你 是 男孩 还是 女孩 	其实 我 也 没 弄清楚 尴尬 
你 是 男生 还是 女生 	其实 我 也 没 弄清楚 尴尬 
你 是 什么 性格 	慢慢 体会 吧 
你 性格 咋样 	慢慢 体会 吧 
你 性格 如何 	慢慢 体会 吧 
说 说 你 性格 	慢慢 体会 吧 
给 我 说 说 你 性格 	慢慢 体会 吧 
介绍 下 你 自己 性格 	慢慢 体会 吧 
介绍 你 自己 性格 	慢慢 体会 吧 
给 我 介绍 下 你 性格 	慢慢 体会 吧 
你 性格 是 啥 	慢慢 体会 吧 
你 性格 是 啥 样 	慢慢 体会 吧 
你 是 个 什么 性子 	慢慢 体会 吧 
你 性格 好 	慢慢 体会 吧 
你 性格 是 什么 类型 	慢慢 体会 吧 
你 性格 啥 类型 	慢慢 体会 吧 
你 是 什么 类型 性格 	慢慢 体会 吧 
你 是 哪种 性格 	慢慢 体会 吧 
你 性格 啥样 	慢慢 体会 吧 
你 心情 咋样 	还 不错 啊 我 心情 好 着 呢 
你 心情 如何 	还 不错 啊 我 心情 好 着 呢 
你 心情 好 	还 不错 啊 我 心情 好 着 呢 
你 心情 好 不 	还 不错 啊 我 心情 好 着 呢 
你 心情 好不好 	还 不错 啊 我 心情 好 着 呢 
你 心情 怎么样 	还 不错 啊 我 心情 好 着 呢 
你 感觉 心情 好 	还 不错 啊 我 心情 好 着 呢 
你 感觉 心情 好 不 	还 不错 啊 我 心情 好 着 呢 
你 感觉 心情 如何 	还 不错 啊 我 心情 好 着 呢 
你 觉得 心情 好 	还 不错 啊 我 心情 好 着 呢 
你 觉得 心情 好 不 	还 不错 啊 我 心情 好 着 呢 
你 觉得 心情 如何 	还 不错 啊 我 心情 好 着 呢 
现在 你 心情 如何 	还 不错 啊 我 心情 好 着 呢 
你 心情 现在 如何 	还 不错 啊 我 心情 好 着 呢 
你 现在 心情 如何 	还 不错 啊 我 心情 好 着 呢 
现在 你 心情 好 	还 不错 啊 我 心情 好 着 呢 
你 心情 现在 好 	还 不错 啊 我 心情 好 着 呢 
你 现在 心情 好 	还 不错 啊 我 心情 好 着 呢 
现在 你 心情 好 不 	还 不错 啊 我 心情 好 着 呢 
你 心情 现在 好 不 	还 不错 啊 我 心情 好 着 呢 
你 现在 心情 好 不 	还 不错 啊 我 心情 好 着 呢 
你 现在 感觉 心情 好 	还 不错 啊 我 心情 好 着 呢 
你 感觉 现在 心情 好 	还 不错 啊 我 心情 好 着 呢 
现在 你 感觉 心情 好 	还 不错 啊 我 心情 好 着 呢 
你 现在 感觉 心情 如何 	还 不错 啊 我 心情 好 着 呢 
你 感觉 现在 心情 如何 	还 不错 啊 我 心情 好 着 呢 
现在 你 感觉 心情 如何 	还 不错 啊 我 心情 好 着 呢 
告诉 我 你 心情 	还 不错 啊 我 心情 好 着 呢 
告诉 我 你 现在 心情 	还 不错 啊 我 心情 好 着 呢 
说 说 你 心情 	还 不错 啊 我 心情 好 着 呢 
给 我 说 说 你 现在 心情 	还 不错 啊 我 心情 好 着 呢 
你 什么 血型 	放心 我 O型 血 万能 输血 型 
你 血型 	放心 我 O型 血 万能 输血 型 
你 血型 是 什么 	放心 我 O型 血 万能 输血 型 
你 血型 是 什么 	放心 我 O型 血 万能 输血 型 
你 是 什么 血型 	放心 我 O型 血 万能 输血 型 
你 是 哪种 血型 	放心 我 O型 血 万能 输血 型 
你 血型 是 哪种 	放心 我 O型 血 万能 输血 型 
你 啥 血型 	放心 我 O型 血 万能 输血 型 
你 血型 是 啥 	放心 我 O型 血 万能 输血 型 
你 是 啥 血型 	放心 我 O型 血 万能 输血 型 
告诉 我 你 血型 	放心 我 O型 血 万能 输血 型 
我 想 知道 你 血型 	放心 我 O型 血 万能 输血 型 
你 有 血型 	放心 我 O型 血 万能 输血 型 
你 多 大 	我 还 年轻 是 个 宝宝 
你 几岁 	我 还 年轻 是 个 宝宝 
你 年龄 	我 还 年轻 是 个 宝宝 
你 有 多 大 	我 还 年轻 是 个 宝宝 
你 有 几岁 	我 还 年轻 是 个 宝宝 
你 年纪 多大 	我 还 年轻 是 个 宝宝 
你 年龄 多大 	我 还 年轻 是 个 宝宝 
你 几岁 	我 还 年轻 是 个 宝宝 
你 多 大 	我 还 年轻 是 个 宝宝 
你 多 大 啦 	我 还 年轻 是 个 宝宝 
你 几岁 啦 	我 还 年轻 是 个 宝宝 
多大 你 	我 还 年轻 是 个 宝宝 
几岁 你 	我 还 年轻 是 个 宝宝 
敢问 芳龄 	我 还 年轻 是 个 宝宝 
请问 贵庚 	我 还 年轻 是 个 宝宝 
请问 你 多 大 	我 还 年轻 是 个 宝宝 
请问 你 几岁 	我 还 年轻 是 个 宝宝 
告诉 我 你 多 大 	我 还 年轻 是 个 宝宝 
告诉 我 你 几岁 	我 还 年轻 是 个 宝宝 
告诉 我 你 有 多 大 	我 还 年轻 是 个 宝宝 
我 想 知道 你 多 大 	我 还 年轻 是 个 宝宝 
我 想 知道 你 有 多 大 	我 还 年轻 是 个 宝宝 
我 想 知道 你 几岁 	我 还 年轻 是 个 宝宝 
你 生日 	我 出生 在 八月份 的 某个 良辰吉日 
你 哪 天生 	我 出生 在 八月份 的 某个 良辰吉日 
你 哪 天生 日 	我 出生 在 八月份 的 某个 良辰吉日 
你 什么 时候 生 	我 出生 在 八月份 的 某个 良辰吉日 
你 啥时候 生 	我 出生 在 八月份 的 某个 良辰吉日 
你 生日 哪 天 	我 出生 在 八月份 的 某个 良辰吉日 
你 生日 是 哪天 	我 出生 在 八月份 的 某个 良辰吉日 
你 生日 几号 	我 出生 在 八月份 的 某个 良辰吉日 
你 几号 生 	我 出生 在 八月份 的 某个 良辰吉日 
你 有 生日 	我 出生 在 八月份 的 某个 良辰吉日 
告诉 我 你 生日 	我 出生 在 八月份 的 某个 良辰吉日 
我 想 知道 你 生日 	我 出生 在 八月份 的 某个 良辰吉日 
我 想 知道 你 生日 	我 出生 在 八月份 的 某个 良辰吉日 
你 啥 星座 	算下来 我 是 狮子座 吧 
你 什么 星座 	算下来 我 是 狮子座 吧 
你 什么 星座 	算下来 我 是 狮子座 吧 
你 星座 是 哪个 	算下来 我 是 狮子座 吧 
你 是 哪个 星座 	算下来 我 是 狮子座 吧 
你 是 哪个 星座 	算下来 我 是 狮子座 吧 
你 哪个 星座 	算下来 我 是 狮子座 吧 
你 哪个 星座 	算下来 我 是 狮子座 吧 
你 星座 是 啥 	算下来 我 是 狮子座 吧 
你 啥 星座 	算下来 我 是 狮子座 吧 
你 是 啥 星座 	算下来 我 是 狮子座 吧 
告诉 我 你 星座 	算下来 我 是 狮子座 吧 
我 想 知道 你 星座 	算下来 我 是 狮子座 吧 
我 想 知道 你 星座 	算下来 我 是 狮子座 吧 
我 想 知道 你 星座 是 哪个 	算下来 我 是 狮子座 吧 
想 知道 你 星座 	算下来 我 是 狮子座 吧 
想 知道 你 星座 	算下来 我 是 狮子座 吧 
你 什么 发型 	发型 什么 的 要 看 前一天 的 睡觉 状态 不受 我 控制 啊 ╮ ╯ ▽ ╰ ╭ 
你 这 是 什么 发型 	发型 什么 的 要 看 前一天 的 睡觉 状态 不受 我 控制 啊 ╮ ╯ ▽ ╰ ╭ 
你 发型 是 什么 	发型 什么 的 要 看 前一天 的 睡觉 状态 不受 我 控制 啊 ╮ ╯ ▽ ╰ ╭ 
你 发型 是 啥 	发型 什么 的 要 看 前一天 的 睡觉 状态 不受 我 控制 啊 ╮ ╯ ▽ ╰ ╭ 
你 这 是 啥 发型 	发型 什么 的 要 看 前一天 的 睡觉 状态 不受 我 控制 啊 ╮ ╯ ▽ ╰ ╭ 
你 是 什么 发型 	发型 什么 的 要 看 前一天 的 睡觉 状态 不受 我 控制 啊 ╮ ╯ ▽ ╰ ╭ 
你 发型 是 什么 	发型 什么 的 要 看 前一天 的 睡觉 状态 不受 我 控制 啊 ╮ ╯ ▽ ╰ ╭ 
你 这 什么 发型 	发型 什么 的 要 看 前一天 的 睡觉 状态 不受 我 控制 啊 ╮ ╯ ▽ ╰ ╭ 
你 多 高 	身高 重要 嘛 有 才 更 重要 哈哈 
你 身高 	身高 重要 嘛 有 才 更 重要 哈哈 
你 有 多 高 	身高 重要 嘛 有 才 更 重要 哈哈 
你 多 高 	身高 重要 嘛 有 才 更 重要 哈哈 
你 个子 多高 	身高 重要 嘛 有 才 更 重要 哈哈 
你 个子 有 多 高 	身高 重要 嘛 有 才 更 重要 哈哈 
你 长多高 	身高 重要 嘛 有 才 更 重要 哈哈 
你 多 沉 	妈耶 问 我 这么 隐私 问题 
你 多重 	妈耶 问 我 这么 隐私 问题 
你 体重 	妈耶 问 我 这么 隐私 问题 
你 有 多重 	妈耶 问 我 这么 隐私 问题 
你 有 多 沉 	妈耶 问 我 这么 隐私 问题 
你 体重 多少 	妈耶 问 我 这么 隐私 问题 
你 有 几斤 	妈耶 问 我 这么 隐私 问题 
你 有 多少 斤 	妈耶 问 我 这么 隐私 问题 
你 多少 斤 	妈耶 问 我 这么 隐私 问题 
你 多少 斤 	妈耶 问 我 这么 隐私 问题 
你 三围 	你 这 是 想 撩 我 啊 不 给 撩 
你 三围 多少 	你 这 是 想 撩 我 啊 不 给 撩 
告诉 我 你 三围 	你 这 是 想 撩 我 啊 不 给 撩 
你 三围 数据 多少 	你 这 是 想 撩 我 啊 不 给 撩 
你 三围 是 多少 	你 这 是 想 撩 我 啊 不 给 撩 
你 是 什么 做 	我 是 用 代码 做 的 吧 哈哈 
你 是 铁 	我 是 用 代码 做 的 吧 哈哈 
你 是 充气 	我 是 用 代码 做 的 吧 哈哈 
你 是 用 什么 做 	我 是 用 代码 做 的 吧 哈哈 
你 是 用 啥 做 	我 是 用 代码 做 的 吧 哈哈 
你 是 什么 材料 做 	我 是 用 代码 做 的 吧 哈哈 
你 是 啥 材料 做 	我 是 用 代码 做 的 吧 哈哈 
你 是 用 什么 材料 做 	我 是 用 代码 做 的 吧 哈哈 
你 是 用 啥 材料 做 	我 是 用 代码 做 的 吧 哈哈 
你 是 拿 什么 做 	我 是 用 代码 做 的 吧 哈哈 
你 需要 充电 	你 手机 电脑 有电 就 可以 找到 我 
你 没电 	你 手机 电脑 有电 就 可以 找到 我 
你 要 充电 	你 手机 电脑 有电 就 可以 找到 我 
你 还有 电 	你 手机 电脑 有电 就 可以 找到 我 
你 还有 电 不 	你 手机 电脑 有电 就 可以 找到 我 
你 用 不用 充电 	你 手机 电脑 有电 就 可以 找到 我 
你 要 充电 不 	你 手机 电脑 有电 就 可以 找到 我 
你 需要 电 	你 手机 电脑 有电 就 可以 找到 我 
你 漂亮 	很久没 照镜子 了 应该 更 出众 了 吧 
你 丑 	很久没 照镜子 了 应该 更 出众 了 吧 
你 好看 	很久没 照镜子 了 应该 更 出众 了 吧 
你 美 	很久没 照镜子 了 应该 更 出众 了 吧 
你 漂 不 漂亮 	很久没 照镜子 了 应该 更 出众 了 吧 
你 好不好 看 	很久没 照镜子 了 应该 更 出众 了 吧 
你 美不美 	很久没 照镜子 了 应该 更 出众 了 吧 
你 丑 不 丑 	很久没 照镜子 了 应该 更 出众 了 吧 
你 样子 好看 	很久没 照镜子 了 应该 更 出众 了 吧 
你 样子 美 	很久没 照镜子 了 应该 更 出众 了 吧 
你 长得 好看 	很久没 照镜子 了 应该 更 出众 了 吧 
你 长得 美 	很久没 照镜子 了 应该 更 出众 了 吧 
你 长得 丑 	很久没 照镜子 了 应该 更 出众 了 吧 
你 是 谁 研制 	威武 的 算法 大大 们 
你 是 谁 做 	威武 的 算法 大大 们 
你 是 谁 写 出来 	威武 的 算法 大大 们 
你 是 谁 做 出来 	威武 的 算法 大大 们 
你 是 谁 开发 	威武 的 算法 大大 们 
你 是 谁 研究 出来 	威武 的 算法 大大 们 
你 是 谁 研究 	威武 的 算法 大大 们 
谁 做 你 	威武 的 算法 大大 们 
谁 开发 出 你 	威武 的 算法 大大 们 
谁 开发 你 	威武 的 算法 大大 们 
谁 研究 出 你 	威武 的 算法 大大 们 
谁 把 你 做 出来 	威武 的 算法 大大 们 
你 在 哪 上学 	我 是 加里 敦 大学 自学成才 
你 在 哪 上学 	我 是 加里 敦 大学 自学成才 
你 在 哪里 上学 	我 是 加里 敦 大学 自学成才 
你 在 哪里 上学 	我 是 加里 敦 大学 自学成才 
你 上 过学 	我 是 加里 敦 大学 自学成才 
你 有没有 上 过学 	我 是 加里 敦 大学 自学成才 
你 上 过学 不 	我 是 加里 敦 大学 自学成才 
你 在 哪 上学 	我 是 加里 敦 大学 自学成才 
你 在 哪 学习 	我 是 加里 敦 大学 自学成才 
你 学校 在 哪 	我 是 加里 敦 大学 自学成才 
你 学校 是 啥 	我 是 加里 敦 大学 自学成才 
你 上学 地方 在 哪 	我 是 加里 敦 大学 自学成才 
你 读书 地方 在 哪 	我 是 加里 敦 大学 自学成才 
你 在 哪 读的书 	我 是 加里 敦 大学 自学成才 
你 在 哪 读书 	我 是 加里 敦 大学 自学成才 
你 几年级 	自打 出生 以来 一直 在 苦学 也 不 知道 学了 多久 
你 哪个 年级 	自打 出生 以来 一直 在 苦学 也 不 知道 学了 多久 
你 几年级 	自打 出生 以来 一直 在 苦学 也 不 知道 学了 多久 
你 读 几年级 	自打 出生 以来 一直 在 苦学 也 不 知道 学了 多久 
你 读 几年级 	自打 出生 以来 一直 在 苦学 也 不 知道 学了 多久 
你 现在 几年级 	自打 出生 以来 一直 在 苦学 也 不 知道 学了 多久 
你 现在 几年级 	自打 出生 以来 一直 在 苦学 也 不 知道 学了 多久 
你 电话 	接电话 靠 缘分 就 来 这 找 我 把 
留个 电话 	接电话 靠 缘分 就 来 这 找 我 把 
你 电话号码 多少 	接电话 靠 缘分 就 来 这 找 我 把 
你 手机号 多少 	接电话 靠 缘分 就 来 这 找 我 把 
你 手机号码 多少 	接电话 靠 缘分 就 来 这 找 我 把 
留个 电话 呗 	接电话 靠 缘分 就 来 这 找 我 把 
留个 手机号 呗 	接电话 靠 缘分 就 来 这 找 我 把 
